stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AB660,8740,"MONTRÉAL / DE L'ÉGLISE",,  45.439583, -75.651260,,,0,
AB670,8739,"MONTRÉAL / DE L'EGLISE",,  45.439667, -75.651398,,,0,
AB680,7060,"MONTRÉAL / NOTRE DAME CEMETERY",,  45.440189, -75.649269,,,0,
AB690,0927,"MONTRÉAL / NOTRE DAME CEMETERY",,  45.440300, -75.649681,,,0,
AB700,0953,"MONTRÉAL / ST LAURENT",,  45.440903, -75.647102,,,0,
AC010,8723,"MCARTHUR / VANIER",,  45.431255, -75.662941,,,0,
AC020,8773,"MCARTHUR / VANIER",,  45.431049, -75.663109,,,0,
AC030,7061,"MCARTHUR / OLMSTEAD",,  45.431229, -75.660637,,,0,
AC035,8774,"MCARTHUR / OLMSTEAD",,  45.431431, -75.660027,,,0,
AC040,7062,"MCARTHUR / CRETE",,  45.431583, -75.658600,,,0,
AC050,8932,"MCARTHUR / ALLEN",,  45.431458, -75.657265,,,0,
AC060,7063,"MCARTHUR / LACASSE",,  45.431705, -75.656784,,,0,
AC070,5826,"MCARTHUR / CARMEN",,  45.431599, -75.655647,,,0,
AC080,8615,"MCARTHUR / LAFONTAINE",,  45.431801, -75.654915,,,0,
AC090,7064,"MCARTHUR / LAFONTAINE",,  45.431667, -75.654266,,,0,
AC100,7065,"MCARTHUR / EASTWOOD",,  45.431957, -75.653038,,,0,
AC110,8600,"MCARTHUR / IRWIN MILLER",,  45.431808, -75.652428,,,0,
AC120,7066,"MCARTHUR / BRANT",,  45.432087, -75.650055,,,0,
AC130,7067,"MCARTHUR / BRANT",,  45.431980, -75.650070,,,0,
AC140,8605,"MCARTHUR / DE L'ÉGLISE",,  45.432255, -75.648102,,,0,
AC150,8662,"MCARTHUR / MOORVALE",,  45.432095, -75.648407,,,0,
AC160,7068,"MCARTHUR / MAY",,  45.432465, -75.644966,,,0,
AC170,8601,"MCARTHUR / MAY",,  45.432262, -75.645660,,,0,
AC180,7069,"MCARTHUR / ST LAURENT",,  45.432602, -75.643188,,,0,
AC190,7070,"MCARTHUR / ST LAURENT",,  45.432461, -75.643486,,,0,
AD010,7080,"VANIER / COVENTRY",,  45.420925, -75.658073,,,0,
AD020,7081,"VANIER / COVENTRY",,  45.421806, -75.659142,,,0,
AD030,8175,"VANIER / PRESLAND",,  45.422798, -75.661606,,,0,
AD040,8174,"VANIER / PRESLAND",,  45.422421, -75.660515,,,0,
AD050,7082,"VANIER / QUEEN MARY",,  45.424610, -75.662437,,,0,
AD060,7084,"VANIER / QUEEN MARY",,  45.424229, -75.662018,,,0,
AD070,7083,"VANIER / DONALD",,  45.426937, -75.662964,,,0,
AD080,8517,"VANIER / DONALD",,  45.427692, -75.662712,,,0,
AD085,5700,"VANIER / MCARTHUR",,  45.430447, -75.664024,,,0,
AD090,8770,"VANIER / MCARTHUR",,  45.431686, -75.664009,,,0,
AD100,8945,"VANIER / MCARTHUR",,  45.431705, -75.664352,,,0,
AD110,7085,"VANIER / MONTRÉAL",,  45.433987, -75.665749,,,0,
AD135,1995,"MCARTHUR / NORTH RIVER",,  45.430698, -75.667999,,,0,
AD140,8777,"MCARTHUR / MAYFIELD",,  45.431080, -75.665703,,,0,
AD145,7086,"MCARTHUR / MAYFIELD",,  45.430862, -75.665680,,,0,
AD200,8780,"NORTH RIVER / MONTREAL",,  45.432442, -75.669975,,,0,
AD210,8786,"NORTH RIVER / SELKIRK",,  45.431995, -75.669472,,,0,
AD220,7087,"NORTH RIVER / AD. 333",,  45.431278, -75.669434,,,0,
AD230,7088,"NORTH RIVER / MCARTHUR",,  45.431221, -75.669090,,,0,
AD260,8772,"NORTH RIVER / WASHINGTON",,  45.429462, -75.668488,,,0,
AD265,8768,"NORTH RIVER / WASHINGTON",,  45.429287, -75.668198,,,0,
AD270,7090,"NORTH RIVER / ONTARIO",,  45.427952, -75.667549,,,0,
AD280,7089,"NORTH RIVER / ONTARIO",,  45.427891, -75.667740,,,0,
AD300,1897,"NORTH RIVER / COLUMBUS",,  45.426281, -75.666946,,,0,
AD310,8581,"NORTH RIVER / COLUMBUS",,  45.426144, -75.666710,,,0,
AD320,7092,"QUEEN MARY / NORTH RIVER",,  45.424282, -75.665634,,,0,
AD330,7328,"QUEEN MARY / NORTH RIVER",,  45.424156, -75.665344,,,0,
AD340,7091,"QUEEN MARY / MARION",,  45.424255, -75.664192,,,0,
AD350,7093,"QUEEN MARY / MARION",,  45.424442, -75.663895,,,0,
AD360,8580,"QUEEN MARY / VANIER",,  45.424545, -75.661964,,,0,
AD370,8576,"QUEEN MARY / VANIER",,  45.424435, -75.661713,,,0,
AD380,7097,"QUEEN MARY / VERA",,  45.424522, -75.660316,,,0,
AD390,7094,"QUEEN MARY / VERA",,  45.424709, -75.659889,,,0,
AD400,7095,"QUILL / QUEEN MARY",,  45.424908, -75.657486,,,0,
AD410,7098,"QUILL / QUEEN MARY",,  45.425186, -75.657341,,,0,
AD420,7096,"QUILL / GLYNN",,  45.425835, -75.657585,,,0,
AD430,7099,"QUILL / COLUMBUS",,  45.426304, -75.657501,,,0,
AD440,8577,"DONALD / QUILL",,  45.427608, -75.657387,,,0,
AD450,8579,"DONALD / QUILL",,  45.427769, -75.657166,,,0,
AD460,7100,"DONALD / EDITH",,  45.427746, -75.655426,,,0,
AD470,7103,"DONALD / EVE",,  45.427948, -75.654922,,,0,
AD508,3578,"DONALD / TELFORD",,  45.428520, -75.646927,,,0,
AD509,1074,"DONALD / FRANCES",,  45.428356, -75.646973,,,0,
AD645,7404,"LOLA / DONALD",,  45.427662, -75.652817,,,0,
AD646,1517,"LOLA / DONALD",,  45.427723, -75.652626,,,0,
AD655,7267,"LOLA / KING GEORGE",,  45.425503, -75.652504,,,0,
AD720,7118,"COVENTRY / AD. 360",,  45.421303, -75.649376,,,0,
AD730,7117,"COVENTRY / BELFAST",,  45.421520, -75.648277,,,0,
AD780,5867,"BELFAST / COVENTRY",,  45.420944, -75.647400,,,0,
AD790,8586,"BELFAST / COVENTRY",,  45.421043, -75.647232,,,0,
AE040,1836,"TREMBLAY / BELFAST",,  45.418716, -75.646454,,,0,
AE050,1837,"TREMBLAY / AVENUE N",,  45.418613, -75.646156,,,0,
AE080,7124,"TREMBLAY / AVENUE R",,  45.419033, -75.642181,,,0,
AE090,7126,"TREMBLAY / AVENUE R",,  45.418877, -75.642540,,,0,
AE120,1574,"TREMBLAY / AVENUE U",,  45.419235, -75.639107,,,0,
AE130,7127,"TREMBLAY / AVENUE U",,  45.419128, -75.639122,,,0,
AE140,7129,"TREMBLAY / AD. 529",,  45.419106, -75.636261,,,0,
AE150,7128,"TREMBLAY / AD. 530",,  45.418957, -75.636353,,,0,
AE220,8595,"BELFAST / TRAINYARDS",,  45.414597, -75.641899,,,0,
AE240,8583,"BELFAST / AD. 767",,  45.414429, -75.641006,,,0,
AE250,7131,"BELFAST / AD. 805",,  45.413361, -75.638893,,,0,
AE260,8582,"BELFAST / AD. 805",,  45.413677, -75.639305,,,0,
AE270,7132,"BELFAST / AD. 848",,  45.412746, -75.637405,,,0,
AE280,7133,"BELFAST / PARA TRANSPO",,  45.412174, -75.635704,,,0,
AE300,7134,"BELFAST / ST. LAURENT",,  45.411728, -75.633789,,,0,place_4693
AE320,8541,"INDUSTRIAL / ST LAURENT",,  45.406631, -75.627716,,,0,
AE325,7137,"831 INDUSTRIAL",,  45.408077, -75.633209,,,0,
AE330,8548,"INDUSTRIAL / ST LAURENT",,  45.406143, -75.630547,,,0,
AE335,8546,"INDUSTRIAL / NAPA AUTO PARTS AD. 830",,  45.407219, -75.632545,,,0,
AE340,7158,"INDUSTRIAL / RUSSELL",,  45.408829, -75.634811,,,0,
AE351,0742,"INDUSTRIAL / RUSSELL",,  45.409092, -75.635094,,,0,
AE355,1188,"INDUSTRIAL / RUSSELL",,  45.409946, -75.637604,,,0,
AE360,1189,"INDUSTRIAL / RUSSELL",,  45.409863, -75.637581,,,0,
AE450,8629,"NEIGHBOURHOOD / CORONATION",,  45.410252, -75.652763,,,0,
AE480,1392,"ROLLAND / CORONATION",,  45.409447, -75.653450,,,0,
AE495,3641,"CORONATION / NEIGHBOURHOOD",,  45.410282, -75.652412,,,0,
AE500,8560,"CORONATION / AD. 466",,  45.410694, -75.649750,,,0,
AE510,8556,"CORONATION / AD. 466",,  45.410561, -75.649857,,,0,
AE520,8559,"CORONATION / CHOMLEY",,  45.410610, -75.645767,,,0,
AE530,7144,"CORONATION / CHOMLEY",,  45.410500, -75.646370,,,0,
AE540,7145,"CORONATION / WEYBURN",,  45.410038, -75.642235,,,0,
AE550,7146,"CORONATION / WEYBURN",,  45.409866, -75.642250,,,0,
AE560,8558,"CORONATION / BOTSFORD",,  45.409153, -75.638573,,,0,
AE570,8557,"CORONATION / BOTSFORD",,  45.408936, -75.638382,,,0,
AE580,7147,"CORONATION / RUSSELL",,  45.408726, -75.636765,,,0,
AE590,7150,"CORONATION / RUSSELL",,  45.408489, -75.636360,,,0,
AE600,7148,"RUSSELL / SHELLEY",,  45.407547, -75.635506,,,0,
AE610,7151,"RUSSELL / SHELLEY",,  45.407303, -75.635483,,,0,
AE620,7149,"RUSSELL / THIRSK",,  45.406162, -75.634491,,,0,
AE625,8354,"RUSSELL / PERLEY HOSPITAL",,  45.404579, -75.633125,,,0,
AE630,7163,"RUSSELL / THIRSK",,  45.405991, -75.634544,,,0,
AE635,7155,"RUSSELL / PERLEY HOSPITAL",,  45.404446, -75.633263,,,0,
AE640,8355,"RUSSELL / HAIG",,  45.403683, -75.632469,,,0,
AE650,7152,"RUSSELL / HAIG",,  45.403381, -75.631966,,,0,
AE660,7156,"RUSSELL / CUBA",,  45.402153, -75.629005,,,0,
AE670,7153,"RUSSELL / CUBA",,  45.402176, -75.628647,,,0,
AE680,7154,"RUSSELL / AD. 1909",,  45.401730, -75.626419,,,0,
AE690,7157,"RUSSELL / AD. 1909",,  45.401577, -75.626526,,,0,
AE700,3395,"TERMINAL / TRAINYARDS",,  45.415009, -75.646324,,,0,
AE705,3396,"TERMINAL / TRAINYARDS",,  45.415180, -75.645378,,,0,
AE710,3397,"TERMINAL / WALMART ENT.",,  45.414768, -75.649345,,,0,
AE715,3398,"TERMINAL / WALMART ENT.",,  45.414936, -75.648972,,,0,
AE721,1802,"TERMINAL / SANDFORD FLEMING",,  45.414185, -75.656647,,,0,
AE726,1801,"TERMINAL / SANDFORD FLEMING",,  45.414330, -75.656677,,,0,
AE800,7074,"INDUSTRIAL GARAGE / BELFAST",,  45.412872, -75.638649,,,0,
AE810,7073,"INDUSTRIAL GARAGE / BELFAST",,  45.412876, -75.638763,,,0,
AE815,1187,"TRAINYARD MALL / ROAD TO BELFAST",,  45.412540, -75.639557,,,0,
AE820,1186,"TRAINYARD MALL / ROAD TO BELFAST",,  45.412716, -75.639763,,,0,
AE900,3024,"TRAIN 2A",,  45.417316, -75.652084,,,0,
AE910,3024,"TRAIN 1A",,  45.417156, -75.652046,,,0,
AF075,1868,"RIVERSIDE / TERMINAL",,  45.412331, -75.659019,,,0,
AF080,1869,"RIVERSIDE / TERMINAL",,  45.412300, -75.659683,,,0,
AF090,5793,"SANDFORD FLEMING / INDUSTRIAL",,  45.412605, -75.655853,,,0,
AF100,8552,"SANDFORD FLEMING / INDUSTRIAL",,  45.412880, -75.655670,,,0,
AF105,8626,"ALTA VISTA / ROLLAND",,  45.411263, -75.655930,,,0,
AF110,8544,"ALTA VISTA / CALEDON",,  45.410301, -75.657257,,,0,
AF120,8209,"ALTA VISTA / CALEDON",,  45.410149, -75.657158,,,0,
AF130,7164,"ALTA VISTA / DALE",,  45.408779, -75.658173,,,0,
AF140,7165,"ALTA VISTA / DORION",,  45.408257, -75.658211,,,0,
AF150,8219,"ALTA VISTA / DORION",,  45.407818, -75.658676,,,0,
AF160,7166,"ALTA VISTA / CLUNY",,  45.405445, -75.659950,,,0,
AF170,7167,"ALTA VISTA / BALFOUR",,  45.405045, -75.660439,,,0,
AF180,8220,"ALTA VISTA / VALOUR",,  45.402775, -75.661842,,,0,
AF190,8208,"ALTA VISTA / VALOUR",,  45.402821, -75.661560,,,0,
AF210,7170,"ALTA VISTA / SMYTH",,  45.399715, -75.661819,,,0,
AF220,7168,"ALTA VISTA / SMYTH",,  45.400898, -75.662300,,,0,
AF230,7169,"ALTA VISTA / SMYTH",,  45.399212, -75.661919,,,0,
AF240,8234,"SMYTH / ALTA VISTA",,  45.398586, -75.662041,,,0,
AF270,2401,"SMYTH / RIVERSIDE",,  45.399036, -75.667084,,,0,
AF280,7171,"SMYTH / RIVERSIDE",,  45.398937, -75.666954,,,0,
AF910,3023,"HURDMAN 1B",,  45.412018, -75.665443,,,0,place_8580
AF920,3023,"HURDMAN 1C",,  45.412048, -75.665001,,,0,place_8580
AF930,3023,"HURDMAN 1D",,  45.412064, -75.664474,,,0,place_8580
AF940,3023,"HURDMAN 2A",,  45.411896, -75.664787,,,0,place_8580
AF950,3023,"HURDMAN 2B",,  45.411854, -75.665436,,,0,place_8580
AF960,3023,"HURDMAN 2C",,  45.411816, -75.666092,,,0,place_8580
AF965,3030,"LYCÉE CLAUDEL 1A",,  45.406612, -75.664452,,,0,
AF970,3030,"LYCÉE CLAUDEL 2A",,  45.406548, -75.664223,,,0,
AF975,3031,"SMYTH 1A",,  45.401104, -75.666862,,,0,
AF980,3031,"SMYTH 2A",,  45.401146, -75.666550,,,0,
AG040,8555,"RIVERSIDE / PLEASANT PARK",,  45.393036, -75.672379,,,0,
AG105,8216,"PLEASANT PARK / CABOT",,  45.392769, -75.671684,,,0,
AG120,2327,"PLEASANT PARK / CABOT",,  45.392670, -75.671646,,,0,
AG150,8240,"PLEASANT PARK / CAVENDISH",,  45.392967, -75.665291,,,0,
AG160,8242,"PLEASANT PARK / CAVENDISH",,  45.392796, -75.665337,,,0,
AG180,7173,"PLEASANT PARK / ALTA VISTA",,  45.393009, -75.662788,,,0,
AG190,8207,"ALTA VISTA / SMYTH",,  45.398060, -75.661537,,,0,
AG200,7174,"ALTA VISTA / CRESTVIEW",,  45.396343, -75.662178,,,0,
AG210,8228,"ALTA VISTA / CRESTVIEW",,  45.395592, -75.662689,,,0,
AG220,7175,"ALTA VISTA / BILLINGS",,  45.394539, -75.662674,,,0,
AG240,8206,"ALTA VISTA / PLEASANT PARK",,  45.393425, -75.662590,,,0,
AG250,7176,"ALTA VISTA / PLEASANT PARK",,  45.393162, -75.662682,,,0,
AG260,8227,"ALTA VISTA / MOUNTBATTEN",,  45.391685, -75.662415,,,0,
AG270,0837,"ALTA VISTA / SUMMIT",,  45.391350, -75.662125,,,0,
AG280,7178,"ALTA VISTA / CUNNINGHAM",,  45.389275, -75.662727,,,0,
AG290,7177,"ALTA VISTA / CUNNINGHAM",,  45.388668, -75.663086,,,0,
AG300,5851,"ALTA VISTA / KILBORN",,  45.386723, -75.662834,,,0,
AG310,5705,"ALTA VISTA / KILBORN",,  45.386494, -75.662567,,,0,
AG320,8226,"ALTA VISTA / ORILLIA",,  45.385235, -75.662598,,,0,
AG330,5709,"ALTA VISTA / CLONTARF",,  45.385071, -75.662422,,,0,
AG340,7180,"ALTA VISTA / RANDALL",,  45.383827, -75.662193,,,0,
AG350,7179,"ALTA VISTA / RANDALL",,  45.382874, -75.662209,,,0,
AG360,8422,"ALTA VISTA / PALEN",,  45.382042, -75.661804,,,0,
AG370,8423,"ALTA VISTA / WESMAR",,  45.381737, -75.661896,,,0,
AG380,7181,"ALTA VISTA / WESMAR",,  45.379852, -75.661438,,,0,
AG390,8359,"ALTA VISTA / HERON",,  45.378456, -75.661011,,,0,place_4543
AG430,8425,"ALTA VISTA / RIDGEMOUNT",,  45.377113, -75.660843,,,0,place_4534
AG480,8231,"HERON / ALTA VISTA",,  45.379028, -75.661911,,,0,
AG500,7187,"HERON / EVANS",,  45.378971, -75.663826,,,0,
AG510,8427,"HERON/EDGEHILL",,  45.378716, -75.664597,,,0,
AG520,8286,"HERON / BANK",,  45.378761, -75.666840,,,0,
AG525,1166,"HERON / BANK",,  45.378517, -75.666962,,,0,
AG540,8225,"KILBORN / ALTA VISTA",,  45.386543, -75.662949,,,0,
AG550,7189,"KILBORN / LILAC",,  45.386345, -75.665298,,,0,
AG560,7188,"KILBORN / LILAC",,  45.386471, -75.665443,,,0,
AG570,8224,"KILBORN / BEAVER",,  45.386189, -75.667488,,,0,
AG580,8203,"KILBORN / BLOSSOM",,  45.386204, -75.669533,,,0,
AG590,7190,"KILBORN / UTAH",,  45.386024, -75.669662,,,0,
AG600,7192,"KILBORN / ROONEY'S LANE",,  45.385124, -75.670883,,,0,
AG610,7191,"KILBORN / ROONEY'S LANE",,  45.384541, -75.670883,,,0,
AG900,3032,"RIVERSIDE 2A",,  45.396847, -75.669083,,,0,
AG910,3032,"RIVERSIDE 1A",,  45.396893, -75.669334,,,0,
AG920,3033,"PLEASANT PARK 2A",,  45.392715, -75.669228,,,0,
AG930,3033,"PLEASANT PARK 1A",,  45.392853, -75.669434,,,0,
AG940,3033,"PLEASANT PARK 4A",,  45.392776, -75.669113,,,0,
AG950,3033,"PLEASANT PARK 3A",,  45.392746, -75.669617,,,0,
AH010,8384,"WALKLEY / BANK",,  45.370575, -75.662659,,,0,
AH020,8404,"WALKLEY / BANFF",,  45.371189, -75.661499,,,0,
AH030,7193,"WALKLEY / AYERS",,  45.371670, -75.659813,,,0,
AH040,7195,"WALKLEY / HAMPSTEAD",,  45.371967, -75.659637,,,0,
AH050,7194,"WALKLEY / HAMPSTEAD",,  45.372379, -75.658073,,,0,
AH060,7196,"WALKLEY / JASPER",,  45.373055, -75.656891,,,0,
AH090,8390,"WALKLEY / JASPER",,  45.373138, -75.656342,,,0,
AH095,7197,"ALBION / WALKLEY",,  45.373737, -75.654701,,,0,
AH110,8536,"WALKLEY / BAYCREST",,  45.376366, -75.648521,,,0,
AH115,7198,"WALKLEY / HEATHERINGTON",,  45.377701, -75.645241,,,0,
AH120,5818,"WALKLEY / AD. 1570",,  45.376518, -75.648476,,,0,
AH125,1087,"WALKLEY / HEATHERINGTON",,  45.377819, -75.645370,,,0,
AH130,8387,"WALKLEY / HEATHERINGTON",,  45.378086, -75.644135,,,0,
AH140,8399,"WALKLEY / AD. 1680",,  45.378819, -75.642929,,,0,
AH160,7201,"WALKLEY / HERON",,  45.379303, -75.641556,,,0,
AH170,7199,"WALKLEY / HERON",,  45.379112, -75.641495,,,0,
AH180,7202,"WALKLEY / HOLLY",,  45.379929, -75.640015,,,0,
AH190,7200,"WALKLEY / HOLLY",,  45.379757, -75.639938,,,0,
AH220,5806,"HEATHERINGTON / FAIRLEA",,  45.377514, -75.644608,,,0,
AH230,8400,"HEATHERINGTON / FAIRLEA",,  45.376442, -75.644150,,,0,
AH240,7203,"HEATHERINGTON / ANGELA",,  45.375053, -75.643661,,,0,
AH250,8386,"HEATHERINGTON / FAIRLEA",,  45.375149, -75.643478,,,0,
AH260,7204,"HEATHERINGTON / BANNERHILL",,  45.373959, -75.644279,,,0,
AH270,7205,"HEATHERINGTON / BANNERHILL",,  45.373718, -75.644409,,,0,
AH280,8401,"HEATHERINGTON / AD. 1560",,  45.373077, -75.648109,,,0,
AH290,8385,"HEATHERINGTON / AD. 1535",,  45.373020, -75.648628,,,0,
AH300,7206,"HEATHERINGTON / AD. 1476",,  45.373363, -75.650208,,,0,
AH310,7208,"HEATHERINGTON / AD. 1485",,  45.373219, -75.650185,,,0,
AH320,7207,"HEATHERINGTON / AD. 1455",,  45.372826, -75.651733,,,0,
AH330,7209,"HEATHERINGTON / AD. 1455",,  45.372734, -75.651497,,,0,
AH340,8402,"HEATHERINGTON / ALBION",,  45.372280, -75.653122,,,0,
AH350,7210,"HEATHERINGTON / ALBION",,  45.372231, -75.652733,,,0,
AH360,8403,"ALBION / WALKLEY",,  45.373825, -75.654137,,,0,
AH470,5899,"BAYCREST / HERON",,  45.378998, -75.652733,,,0,
AH480,1917,"BAYCREST / HERON",,  45.379150, -75.652687,,,0,
AH490,5880,"BAYCREST / CEDARWOOD",,  45.377499, -75.650993,,,0,
AH500,2394,"BAYCREST / CEDARWOOD",,  45.377663, -75.651176,,,0,
AH510,1924,"BAYCREST / WALKLEY",,  45.376511, -75.649628,,,0,
AI010,8937,"KILBORN / ALTA VISTA",,  45.386711, -75.662537,,,0,
